Name;STATE;COUNTY;TRACT;GEOID
Corporal Thompson Park;36.0;85.0;13301.0;368513301.0
Corporal Thompson Park/West Brighton Pool;36.0;85.0;13301.0;368513301.0
Crocheron Park Field House;36.0;81.0;109300.0;3681109300.0
Crotona Park (Martin Van Buren Playground);36.0;5.0;16300.0;36516300.0
Crotona Park (Playground of the Stars);36.0;5.0;14702.0;36514702.0
Crotona Park (Pool House);36.0;5.0;16500.0;36516500.0
Crotona Park Environmental Center;36.0;5.0;36902.0;36536902.0
Crowley Playground;36.0;81.0;49900.0;368149900.0
Cunningham Park;36.0;81.0;128300.0;3681128300.0
Cunningham Park (210th Street Playground);36.0;81.0;129103.0;3681129103.0
Cunningham Park (HQ8);36.0;81.0;47801.0;368147801.0
Cypress Hills Park;36.0;47.0;119600.0;3647119600.0
Daniel M. O'Connell Playground;36.0;81.0;52200.0;368152200.0
De Witt Clinton Park;36.0;61.0;11700.0;366111700.0
Dematti Playground;36.0;85.0;800.0;3685800.0
Detective Keith L. Williams Park;36.0;81.0;44400.0;368144400.0
Devoe Park;36.0;5.0;26300.0;36526300.0
Digilio Playground;36.0;47.0;47800.0;364747800.0
Dimattina Playground;36.0;47.0;6300.0;36476300.0
Ditmars Park Playground;36.0;81.0;31700.0;368131700.0
Double Nickel Playground;36.0;85.0;15602.0;368515602.0
Downing Street Playground;36.0;61.0;6700.0;36616700.0
Dr. Charles R. Drew Memorial Park;36.0;81.0;18800.0;368118800.0
Dr. Martin Luther King Jr. Park;36.0;47.0;115800.0;3647115800.0
Dr. Richard Greene Playground;36.0;47.0;90800.0;364790800.0
Drew Playground;36.0;5.0;14701.0;36514701.0
Dry Dock Playground;36.0;61.0;2800.0;36612800.0
Dugan Playground;36.0;85.0;12806.0;368512806.0
Dutch Kills Playground (PS 112);36.0;81.0;5300.0;36815300.0
Dyckman House Museum;36.0;61.0;29500.0;366129500.0
Dyker Beach Park;36.0;47.0;19400.0;364719400.0
East Elmhurst Playground (PS 127);36.0;81.0;35700.0;368135700.0
East River Park (10th Street);36.0;61.0;16900.0;366116900.0
East River Park (Tennis Courts);36.0;61.0;4500.0;36614500.0
East River Park (Track Building);36.0;61.0;2400.0;36612400.0
East River Playground;36.0;61.0;16200.0;366116200.0
East Springfield Playground;36.0;81.0;55200.0;368155200.0
Eastchester Playground;36.0;5.0;34800.0;36534800.0
Edenwald Playground;36.0;5.0;46000.0;36546000.0
Ederle Comfort Station;36.0;81.0;38302.0;368138302.0
Edmonds Playground;36.0;47.0;18300.0;364718300.0
Electric Playground;36.0;81.0;122703.0;3681122703.0
Emerald Playground (PS 200);36.0;81.0;122703.0;3681122703.0
Equity Park;36.0;81.0;1600.0;36811600.0
Ethan Allen Playground;36.0;47.0;110400.0;3647110400.0
Farm Playground;36.0;81.0;133300.0;3681133300.0
Fermi Playground;36.0;47.0;42500.0;364742500.0
Fisher Pool;36.0;81.0;36300.0;368136300.0
Flushing Fields (Leonardo Ingravallo Playground);36.0;81.0;77905.0;368177905.0
Flushing Meadows Corona Park (Albert H. Mauro Playground);36.0;81.0;77902.0;368177902.0
Flushing Meadows Corona Park (Lawrence Playground);36.0;81.0;80301.0;368180301.0
Flushing Meadows Corona Park (Meadow Lake North);36.0;81.0;38302.0;368138302.0
Flushing Meadows Corona Park (Passerelle);36.0;81.0;38302.0;368138302.0
Flushing Meadows Corona Park (Playground for All Children);36.0;81.0;38302.0;368138302.0
Hansborough Recreation Center;36.0;61.0;21200.0;366121200.0
Flushing Meadows Corona Park (Worlds Fair Playground);36.0;81.0;21200.0;368121200.0
Flushing Meadows Corona Park (Zoo;36.0;81.0;38302.0;368138302.0
Flynn Playground;36.0;5.0;7100.0;3657100.0
Forest Park (Dry Harbour Playground);36.0;81.0;63500.0;368163500.0
Forest Park (Jackson Pond Playground);36.0;81.0;64102.0;368164102.0
Forest Park (Seuffert Bandshell);36.0;61.0;13400.0;366113400.0
