GEOIDCORRECT;NAME_x;variable;estimate;Name;Location;Open Year-Round;Handicap Accessible;Borough;Comments;Latitude;Longitude;SUFFIX;POP100;GEOID;CENTLAT;BLOCK;AREAWATER;STATE;BASENAME;OID;LSADC;INTPTLAT;FUNCSTAT;NAME_y;OBJECTID;TRACT;CENTLON;BLKGRP;AREALAND;HU100;INTPTLON;MTFCC;LWBLKTYP;UR;COUNTY;SUFFIX.1;POP100.1;GEOID.1;CENTLAT.1;BLOCK.1;AREAWATER.1;STATE.1;BASENAME.1;OID.1;LSADC.1;INTPTLAT.1;FUNCSTAT.1;NAME.1;OBJECTID.1;TRACT.1;CENTLON.1;BLKGRP.1;AREALAND.1;HU100.1;INTPTLON.1;MTFCC.1;LWBLKTYP.1;UR.1;COUNTY.1;GEOID.2;STATE.2;COUNTY.2;TRACT.2;BLOCK.2
36061019600;Census Tract 196, New York County, New York;poverty;3619;Marcus Garvey Park (Pool);Madison Avenue, East 120 to East 124 streets;No;;Manhattan;;408.037.062;-739.379.199;;309;3,6061E+14;408.043.782;3002;0;36;3002;2,10701E+14;BK;408.043.782;S;Block 3002;3010033;19600;-739.384.747;3;13391;3;-739.384.747;G5040;L;U;61;;309;3,6061E+14;408.043.782;3002;0;36;3002;2,10701E+14;BK;408.043.782;S;Block 3002;3010033;19600;-739.384.747;3;13391;3;-739.384.747;G5040;L;U;61;3,6061E+14;36;61;19600;3002
36061019600;Census Tract 196, New York County, New York;poverty;3619;Wagner Pool;East 124 Street between 1 & 2 Avenues;No;;Manhattan;;408.037.062;-739.379.199;;309;3,6061E+14;408.043.782;3002;0;36;3002;2,10701E+14;BK;408.043.782;S;Block 3002;3010033;19600;-739.384.747;3;13391;3;-739.384.747;G5040;L;U;61;;309;3,6061E+14;408.043.782;3002;0;36;3002;2,10701E+14;BK;408.043.782;S;Block 3002;3010033;19600;-739.384.747;3;13391;3;-739.384.747;G5040;L;U;61;3,6061E+14;36;61;19600;3002
36061019600;Census Tract 196, New York County, New York;med_inc;20093;Marcus Garvey Park (Pool);Madison Avenue, East 120 to East 124 streets;No;;Manhattan;;408.037.062;-739.379.199;;309;3,6061E+14;408.043.782;3002;0;36;3002;2,10701E+14;BK;408.043.782;S;Block 3002;3010033;19600;-739.384.747;3;13391;3;-739.384.747;G5040;L;U;61;;309;3,6061E+14;408.043.782;3002;0;36;3002;2,10701E+14;BK;408.043.782;S;Block 3002;3010033;19600;-739.384.747;3;13391;3;-739.384.747;G5040;L;U;61;3,6061E+14;36;61;19600;3002
36061019600;Census Tract 196, New York County, New York;med_inc;20093;Wagner Pool;East 124 Street between 1 & 2 Avenues;No;;Manhattan;;408.037.062;-739.379.199;;309;3,6061E+14;408.043.782;3002;0;36;3002;2,10701E+14;BK;408.043.782;S;Block 3002;3010033;19600;-739.384.747;3;13391;3;-739.384.747;G5040;L;U;61;;309;3,6061E+14;408.043.782;3002;0;36;3002;2,10701E+14;BK;408.043.782;S;Block 3002;3010033;19600;-739.384.747;3;13391;3;-739.384.747;G5040;L;U;61;3,6061E+14;36;61;19600;3002
36081044400;Census Tract 444, Queens County, New York;population;4405;Detective Keith L. Williams Park;106 Avenue, 173 Street, Liberty Avenue, 172 Street;Yes;;Queens;;40.704.192;-7.378.598.219.999.990;;30;3,6081E+14;407.043.573;3016;0;36;3016;2,10701E+14;BK;407.043.573;S;Block 3016;1851929;44400;-737.865.169;3;21462;3;-737.865.169;G5040;L;U;81;;30;3,6081E+14;407.043.573;3016;0;36;3016;2,10701E+14;BK;407.043.573;S;Block 3016;1851929;44400;-737.865.169;3;21462;3;-737.865.169;G5040;L;U;81;3,6081E+14;36;81;44400;3016
36081044400;Census Tract 444, Queens County, New York;population;4405;K.L. Williams Playground (Tennis);Liberty Avenue, 172-173 streets;Yes;;Queens;;407.046.003;-737.854.301;;30;3,6081E+14;407.043.573;3016;0;36;3016;2,10701E+14;BK;407.043.573;S;Block 3016;1851929;44400;-737.865.169;3;21462;3;-737.865.169;G5040;L;U;81;;30;3,6081E+14;407.043.573;3016;0;36;3016;2,10701E+14;BK;407.043.573;S;Block 3016;1851929;44400;-737.865.169;3;21462;3;-737.865.169;G5040;L;U;81;3,6081E+14;36;81;44400;3016
36081044400;Census Tract 444, Queens County, New York;poverty;4387;Detective Keith L. Williams Park;106 Avenue, 173 Street, Liberty Avenue, 172 Street;Yes;;Queens;;40.704.192;-7.378.598.219.999.990;;30;3,6081E+14;407.043.573;3016;0;36;3016;2,10701E+14;BK;407.043.573;S;Block 3016;1851929;44400;-737.865.169;3;21462;3;-737.865.169;G5040;L;U;81;;30;3,6081E+14;407.043.573;3016;0;36;3016;2,10701E+14;BK;407.043.573;S;Block 3016;1851929;44400;-737.865.169;3;21462;3;-737.865.169;G5040;L;U;81;3,6081E+14;36;81;44400;3016
36081044400;Census Tract 444, Queens County, New York;poverty;4387;K.L. Williams Playground (Tennis);Liberty Avenue, 172-173 streets;Yes;;Queens;;407.046.003;-737.854.301;;30;3,6081E+14;407.043.573;3016;0;36;3016;2,10701E+14;BK;407.043.573;S;Block 3016;1851929;44400;-737.865.169;3;21462;3;-737.865.169;G5040;L;U;81;;30;3,6081E+14;407.043.573;3016;0;36;3016;2,10701E+14;BK;407.043.573;S;Block 3016;1851929;44400;-737.865.169;3;21462;3;-737.865.169;G5040;L;U;81;3,6081E+14;36;81;44400;3016
36081044400;Census Tract 444, Queens County, New York;med_inc;49911;Detective Keith L. Williams Park;106 Avenue, 173 Street, Liberty Avenue, 172 Street;Yes;;Queens;;40.704.192;-7.378.598.219.999.990;;30;3,6081E+14;407.043.573;3016;0;36;3016;2,10701E+14;BK;407.043.573;S;Block 3016;1851929;44400;-737.865.169;3;21462;3;-737.865.169;G5040;L;U;81;;30;3,6081E+14;407.043.573;3016;0;36;3016;2,10701E+14;BK;407.043.573;S;Block 3016;1851929;44400;-737.865.169;3;21462;3;-737.865.169;G5040;L;U;81;3,6081E+14;36;81;44400;3016
36081044400;Census Tract 444, Queens County, New York;med_inc;49911;K.L. Williams Playground (Tennis);Liberty Avenue, 172-173 streets;Yes;;Queens;;407.046.003;-737.854.301;;30;3,6081E+14;407.043.573;3016;0;36;3016;2,10701E+14;BK;407.043.573;S;Block 3016;1851929;44400;-737.865.169;3;21462;3;-737.865.169;G5040;L;U;81;;30;3,6081E+14;407.043.573;3016;0;36;3016;2,10701E+14;BK;407.043.573;S;Block 3016;1851929;44400;-737.865.169;3;21462;3;-737.865.169;G5040;L;U;81;3,6081E+14;36;81;44400;3016
36081005300;Census Tract 53, Queens County, New York;population;5590;Dutch Kills Playground (PS 112);Crescent-28 streets, 36 Avenue, 37 Avenue;Yes;;Queens;;407.566.048;-7.392.966.849.999.990;;294;3,6081E+14;407.571.702;4003;0;36;4003;2,10701E+14;BK;407.571.702;S;Block 4003;3502944;5300;-739.287.271;4;15898;148;-739.287.271;G5040;L;U;81;;294;3,6081E+14;407.571.702;4003;0;36;4003;2,10701E+14;BK;407.571.702;S;Block 4003;3502944;5300;-739.287.271;4;15898;148;-739.287.271;G5040;L;U;81;3,6081E+14;36;81;5300;4003
