GEOIDCORRECT,NAME_x,variable,estimate,Name,Location,Open Year-Round,Handicap Accessible,Borough,Comments,Latitude,Longitude,SUFFIX,POP100,GEOID,CENTLAT,BLOCK,AREAWATER,STATE,BASENAME,OID,LSADC,INTPTLAT,FUNCSTAT,NAME_y,OBJECTID,TRACT,CENTLON,BLKGRP,AREALAND,HU100,INTPTLON,MTFCC,LWBLKTYP,UR,COUNTY,SUFFIX.1,POP100.1,GEOID.1,CENTLAT.1,BLOCK.1,AREAWATER.1,STATE.1,BASENAME.1,OID.1,LSADC.1,INTPTLAT.1,FUNCSTAT.1,NAME.1,OBJECTID.1,TRACT.1,CENTLON.1,BLKGRP.1,AREALAND.1,HU100.1,INTPTLON.1,MTFCC.1,LWBLKTYP.1,UR.1,COUNTY.1,GEOID.2,STATE.2,COUNTY.2,TRACT.2,BLOCK.2
36005016500,"Census Tract 165, Bronx County, New York",poverty,1074,Crotona Park (Pool House),173rd Street and Fulton Avenue,Yes,Yes,Bronx,,40.8406852,-73.8982801,,0,360050165001022,40.8415104,1022,0,36,1022,210701006026342,BK,40.8415104,S,Block 1022,2131481,016500,-73.8983244,1,13541,0,-73.8983244,G5040,L,U,005,,0,360050165001022,40.8415104,1022,0,36,1022,210701006026342,BK,40.8415104,S,Block 1022,2131481,16500,-73.8983244,1,13541,0,-73.8983244,G5040,L,U,5,360050165001022,36,5,16500,1022
36005016500,"Census Tract 165, Bronx County, New York",med_inc,35156,Crotona Park (Pool House),173rd Street and Fulton Avenue,Yes,Yes,Bronx,,40.8406852,-73.8982801,,0,360050165001022,40.8415104,1022,0,36,1022,210701006026342,BK,40.8415104,S,Block 1022,2131481,016500,-73.8983244,1,13541,0,-73.8983244,G5040,L,U,005,,0,360050165001022,40.8415104,1022,0,36,1022,210701006026342,BK,40.8415104,S,Block 1022,2131481,16500,-73.8983244,1,13541,0,-73.8983244,G5040,L,U,5,360050165001022,36,5,16500,1022
36047032900,"Census Tract 329, Kings County, New York",population,6174,Marc's & Jason's Playground,Sterling Street & Empire Boulevard,Yes,,Brooklyn,,40.6632343,-73.9508962,,295,360470329003000,40.6636033,3000,0,36,3000,210701004649800,BK,40.6636033,S,Block 3000,4259840,032900,-73.9495067,3,21035,144,-73.9495067,G5040,L,U,047,,295,360470329003000,40.6636033,3000,0,36,3000,210701004649800,BK,40.6636033,S,Block 3000,4259840,32900,-73.9495067,3,21035,144,-73.9495067,G5040,L,U,47,360470329003000,36,47,32900,3000
36047032900,"Census Tract 329, Kings County, New York",poverty,6174,Marc's & Jason's Playground,Sterling Street & Empire Boulevard,Yes,,Brooklyn,,40.6632343,-73.9508962,,295,360470329003000,40.6636033,3000,0,36,3000,210701004649800,BK,40.6636033,S,Block 3000,4259840,032900,-73.9495067,3,21035,144,-73.9495067,G5040,L,U,047,,295,360470329003000,40.6636033,3000,0,36,3000,210701004649800,BK,40.6636033,S,Block 3000,4259840,32900,-73.9495067,3,21035,144,-73.9495067,G5040,L,U,47,360470329003000,36,47,32900,3000
36047032900,"Census Tract 329, Kings County, New York",med_inc,59636,Marc's & Jason's Playground,Sterling Street & Empire Boulevard,Yes,,Brooklyn,,40.6632343,-73.9508962,,295,360470329003000,40.6636033,3000,0,36,3000,210701004649800,BK,40.6636033,S,Block 3000,4259840,032900,-73.9495067,3,21035,144,-73.9495067,G5040,L,U,047,,295,360470329003000,40.6636033,3000,0,36,3000,210701004649800,BK,40.6636033,S,Block 3000,4259840,32900,-73.9495067,3,21035,144,-73.9495067,G5040,L,U,47,360470329003000,36,47,32900,3000
36047042500,"Census Tract 425, Kings County, New York",population,3412,Fermi Playground,Troutman Street & Central Avenue,Yes,,Brooklyn,,40.70029,-73.929035,,665,360470425001002,40.7012403,1002,0,36,1002,210701004649145,BK,40.7012403,S,Block 1002,8100989,042500,-73.9286869,1,16199,245,-73.9286869,G5040,L,U,047,,665,360470425001002,40.7012403,1002,0,36,1002,210701004649145,BK,40.7012403,S,Block 1002,8100989,42500,-73.9286869,1,16199,245,-73.9286869,G5040,L,U,47,360470425001002,36,47,42500,1002
36047042500,"Census Tract 425, Kings County, New York",poverty,3398,Fermi Playground,Troutman Street & Central Avenue,Yes,,Brooklyn,,40.70029,-73.929035,,665,360470425001002,40.7012403,1002,0,36,1002,210701004649145,BK,40.7012403,S,Block 1002,8100989,042500,-73.9286869,1,16199,245,-73.9286869,G5040,L,U,047,,665,360470425001002,40.7012403,1002,0,36,1002,210701004649145,BK,40.7012403,S,Block 1002,8100989,42500,-73.9286869,1,16199,245,-73.9286869,G5040,L,U,47,360470425001002,36,47,42500,1002
36047042500,"Census Tract 425, Kings County, New York",med_inc,88650,Fermi Playground,Troutman Street & Central Avenue,Yes,,Brooklyn,,40.70029,-73.929035,,665,360470425001002,40.7012403,1002,0,36,1002,210701004649145,BK,40.7012403,S,Block 1002,8100989,042500,-73.9286869,1,16199,245,-73.9286869,G5040,L,U,047,,665,360470425001002,40.7012403,1002,0,36,1002,210701004649145,BK,40.7012403,S,Block 1002,8100989,42500,-73.9286869,1,16199,245,-73.9286869,G5040,L,U,47,360470425001002,36,47,42500,1002
36047002901,"Census Tract 29.01, Kings County, New York",population,4370,Fort Greene Playground,Myrtle Avenue & St. Edwards Plaza,Yes,Yes,Brooklyn,,40.6934538,-73.97783319999999,,379,360470029011006,40.6942314,1006,0,36,1006,210701004649901,BK,40.6942314,S,Block 1006,6088403,002901,-73.9784709,1,8930,255,-73.9784709,G5040,L,U,047,,379,360470029011006,40.6942314,1006,0,36,1006,210701004649901,BK,40.6942314,S,Block 1006,6088403,2901,-73.9784709,1,8930,255,-73.9784709,G5040,L,U,47,360470029011006,36,47,2901,1006
36047002901,"Census Tract 29.01, Kings County, New York",poverty,4253,Fort Greene Playground,Myrtle Avenue & St. Edwards Plaza,Yes,Yes,Brooklyn,,40.6934538,-73.97783319999999,,379,360470029011006,40.6942314,1006,0,36,1006,210701004649901,BK,40.6942314,S,Block 1006,6088403,002901,-73.9784709,1,8930,255,-73.9784709,G5040,L,U,047,,379,360470029011006,40.6942314,1006,0,36,1006,210701004649901,BK,40.6942314,S,Block 1006,6088403,2901,-73.9784709,1,8930,255,-73.9784709,G5040,L,U,47,360470029011006,36,47,2901,1006
