Name,Location,Open Year-Round,Handicap Accessible,Borough,Comments,Latitude,Longitude,SUFFIX,POP100,GEOID,CENTLAT,BLOCK,AREAWATER,STATE,BASENAME,OID,LSADC,INTPTLAT,FUNCSTAT,NAME,OBJECTID,TRACT,CENTLON,BLKGRP,AREALAND,HU100,INTPTLON,MTFCC,LWBLKTYP,UR,COUNTY,SUFFIX,POP100,GEOID,CENTLAT,BLOCK,AREAWATER,STATE,BASENAME,OID,LSADC,INTPTLAT,FUNCSTAT,NAME,OBJECTID,TRACT,CENTLON,BLKGRP,AREALAND,HU100,INTPTLON,MTFCC,LWBLKTYP,UR,COUNTY,GEOID,STATE,COUNTY,TRACT,BLOCK
Annandale Playground (PS 175),"Yellowstone Boulevard, 65 Road, 65 Avenue",Yes,Yes,Queens,,40.7298433,-73.8507037,,127,360810721005002,+40.7297601,5002,0,36,5002,210701006110176,BK,+40.7297601,S,Block 5002,2011307,072100,-073.8514522,5,10794,44,-073.8514522,G5040,L,U,081,,127,360810721005002,+40.7297601,5002,0,36,5002,210701006110176,BK,+40.7297601,S,Block 5002,2011307,072100,-073.8514522,5,10794,44,-073.8514522,G5040,L,U,081,360810721005002,36,081,072100,5002
Annunciation Park,"Convent and Amsterdam Av, W 135 St",,Yes,Manhattan,,40.81931700000001,-73.951843,,1,360610217031004,+40.8202212,1004,0,36,1004,210701008621294,BK,+40.8202212,S,Block 1004,3707914,021703,-073.9503691,1,52819,1,-073.9503691,G5040,L,U,061,,1,360610217031004,+40.8202212,1004,0,36,1004,210701008621294,BK,+40.8202212,S,Block 1004,3707914,021703,-073.9503691,1,52819,1,-073.9503691,G5040,L,U,061,360610217031004,36,061,021703,1004
Arcilla Playground,"Teller Avenue, Park Avenue, Clay Avenue, East 64 Street",Yes,Yes,Bronx,,40.8299454,-73.9131128,,756,360050175005000,+40.8304508,5000,0,36,5000,210701006030014,BK,+40.8304508,S,Block 5000,1766881,017500,-073.9131946,5,11796,250,-073.9131946,G5040,L,U,005,,756,360050175005000,+40.8304508,5000,0,36,5000,210701006030014,BK,+40.8304508,S,Block 5000,1766881,017500,-073.9131946,5,11796,250,-073.9131946,G5040,L,U,005,360050175005000,36,005,017500,5000
Arrochar Playground,"Sand Lane, Major Avenue, McFarland Avenue",Yes,Yes,Staten Island,,40.5978211,-74.0717897,,131,360850020021018,+40.5998731,1018,0,36,1018,210701004606028,BK,+40.5998731,S,Block 1018,5407966,002002,-074.0703251,1,113374,30,-074.0703251,G5040,L,U,085,,131,360850020021018,+40.5998731,1018,0,36,1018,210701004606028,BK,+40.5998731,S,Block 1018,5407966,002002,-074.0703251,1,113374,30,-074.0703251,G5040,L,U,085,360850020021018,36,085,002002,1018
Arrow Community Garden,"35th Street, between 35th and 36th Avenue",Yes,,Queens,,40.7550919,-73.92656649999999,,844,360810057003001,+40.7560452,3001,0,36,3001,210701006114602,BK,+40.7560452,S,Block 3001,3498553,005700,-073.9263269,3,15967,371,-073.9263269,G5040,L,U,081,,844,360810057003001,+40.7560452,3001,0,36,3001,210701006114602,BK,+40.7560452,S,Block 3001,3498553,005700,-073.9263269,3,15967,371,-073.9263269,G5040,L,U,081,360810057003001,36,081,005700,3001
Asser Levy,Asser Levy Place & East 24-25 streets,Yes,,Manhattan,,40.7361601,-73.9756582,,0,360610062001005,+40.7362604,1005,0,36,1005,210701008620732,BK,+40.7362604,S,Block 1005,3356141,006200,-073.9755339,1,12780,0,-073.9755339,G5040,L,U,061,,0,360610062001005,+40.7362604,1005,0,36,1005,210701008620732,BK,+40.7362604,S,Block 1005,3356141,006200,-073.9755339,1,12780,0,-073.9755339,G5040,L,U,061,360610062001005,36,061,006200,1005
Asser Levy Park,"Boardwalk, Surf, Sea Breeze avenues, Ocean Parkway",Yes,,Brooklyn,,40.5752791,-73.96897170000001,,0,360470356023003,+40.5757284,3003,0,36,3003,210701004648556,BK,+40.5757284,S,Block 3003,5848933,035602,-073.9688350,3,2138,0,-073.9688350,G5040,L,U,047,,0,360470356023003,+40.5757284,3003,0,36,3003,210701004648556,BK,+40.5757284,S,Block 3003,5848933,035602,-073.9688350,3,2138,0,-073.9688350,G5040,L,U,047,360470356023003,36,047,035602,3003
Asser Levy Park (Performance Space),"Boardwalk, Surf, Sea Breeze avenues, Ocean Parkway",Yes,,Brooklyn,,40.5752791,-73.96897170000001,,0,360470356023003,+40.5757284,3003,0,36,3003,210701004648556,BK,+40.5757284,S,Block 3003,5848933,035602,-073.9688350,3,2138,0,-073.9688350,G5040,L,U,047,,0,360470356023003,+40.5757284,3003,0,36,3003,210701004648556,BK,+40.5757284,S,Block 3003,5848933,035602,-073.9688350,3,2138,0,-073.9688350,G5040,L,U,047,360470356023003,36,047,035602,3003
Astoria Heights Playground,"30 Road, 45 to 46 streets",Yes,,Queens,,40.7652191,-73.9073076,,606,360810145002001,+40.7646544,2001,0,36,2001,210701006108588,BK,+40.7646544,S,Block 2001,1230789,014500,-073.9083111,2,25613,266,-073.9083111,G5040,L,U,081,,606,360810145002001,+40.7646544,2001,0,36,2001,210701006108588,BK,+40.7646544,S,Block 2001,1230789,014500,-073.9083111,2,25613,266,-073.9083111,G5040,L,U,081,360810145002001,36,081,014500,2001
Astoria Park (Charybdis Playground),Shore Boulevard opposite 23 Road,Yes,,Queens,,40.7819062,-73.9204719,,0,360810099001001,+40.7814208,1001,0,36,1001,210701006109396,BK,+40.7814208,S,Block 1001,1231278,009900,-073.9194120,1,28372,0,-073.9194120,G5040,L,U,081,,0,360810099001001,+40.7814208,1001,0,36,1001,210701006109396,BK,+40.7814208,S,Block 1001,1231278,009900,-073.9194120,1,28372,0,-073.9194120,G5040,L,U,081,360810099001001,36,081,009900,1001
