Name;STATE;COUNTY;TRACT;GEOID;;;
Forest Park (Dry Harbour Playground);36;81;63500;368163500;;;
Forest Park (Jackson Pond Playground);36;81;64102;368164102;;;
Forest Park (Seuffert Bandshell);36;61;13400;366113400;;;
Forest Park (Sobelsohn Playground;36;81;77500;368177500;;;
Forest Park (Tennis Courts -Forest Parkway);36;81;64101;368164101;;;
Forest Park (The Overlook);36;81;61301;368161301;;;
Forest Park (Victory Field);36;81;124700;3681124700;;;
Forest Park (Visitor Center;36;81;64102;368164102;;;
Fort Greene Park;36;47;25300;364725300;;;
Fort Greene Playground;36;47;2901;36472901;;;
Fort Independence Playground;36;5;40900;36540900;;;
Fort Tryon Park (Anne Loftus Playground);36;61;29500;366129500;;;
Fort Tryon Park (Café);36;61;28700;366128700;;;
Fort Tryon Park (The Cloisters);36;61;28700;366128700;;;
Fort Washington Park (Lily Brown Playground);36;61;24301;366124301;;;
Fox Playground;36;47;67800;364767800;;;
Francis Lewis Playground;36;81;97300;368197300;;;
Frank D. O'Connor Playground;36;81;26700;368126700;;;
Frank Golden Park;36;81;80302;368180302;;;
Franz Sigel Park;36;5;6301;3656301;;;
Frederick B. Judge Memorial Playground;36;81;17000;368117000;;;
Frederick Douglass Playground;36;61;14300;366114300;;;
Frederick E. Samuel Playground;36;61;21703;366121703;;;
Frederick Johnson Park;36;61;23600;366123600;;;
Fresh Meadows Playground (PS 173);36;81;122300;3681122300;;;
Friends Field;36;47;44800;364744800;;;
Fulton Park;36;47;29700;364729700;;;
Galapo Playground;36;47;57600;364757600;;;
Garibaldi Playground;36;47;27600;364727600;;;
General Douglas MacArthur Park;36;61;8603;36618603;;;
Glenwood Playground;36;47;95000;364795000;;;
Gorman Playground;36;81;1200;36811200;;;
Gouverneur Playground;36;5;14701;36514701;;;
Gowanus Playground;36;47;7100;36477100;;;
Grandview Playground;36;85;31901;368531901;;;
Gravesend Park;36;47;47000;364747000;;;
Greencroft Playground (PS 53);36;85;13203;368513203;;;
Greene Playground;36;47;19700;364719700;;;
Greenwood Playground;36;47;45000;364745000;;;
Grove Hill Playground;36;5;6900;3656900;;;
Grover Cleveland Park;36;81;59501;368159501;;;
